Year	Nest	Nest_Date	S+W_Vegetation	Clutch_Size	Nest_Predation	Nest_Survival	Live_Hatchlings
1989	1989001	153	127.9	12	0	1	7
1989	1989002	<173	113.4	8	0	1	5
1989	1989006	173	55.1	8	0	1	8
1989	1989007	173	43.7	13	0	1	13
1989	1989008	<173	55.1	12	0	1	12
1989	1989009	<173	175.8	10	0	1	10
1989	1989010	<173	146.6	8	0	1	7
1989	1989011	<173	47.8	8	0	1	7
1989	1989012	173	82.2	12	0	1	11
1990	1990001	148	-999.9	-999.9	1	0	0
1990	1990002	148	-999.9	-999.9	1	0	0
1990	1990003	151	-999.9	-999.9	1	0	0
1990	1990004	157	-999.9	-999.9	1	0	0
1990	1990005	159	82.2	12	0	1	12
1990	1990006	159	-999.9	-999.9	1	0	0
1990	1990007	159	-999.9	-999.9	1	0	0
1990	1990008	159	-999.9	-999.9	1	0	0
1990	1990009	159	37.4	10	0	0	0
1990	1990010	160	142.5	7	0	1	4
1990	1990011	160	60.3	11	0	0	0
1990	1990012	160	58.2	9	0	1	8
1990	1990013	160	109.2	8	0	1	6
1990	1990014	160	10.4	13	0	1	13
1990	1990015	160	19.8	11	0	1	11
1990	1990016	160	18.7	12	0	1	12
1990	1990017	160	36.4	14	0	1	14
1990	1990018	160	95.7	6	0	1	5
1990	1990019	160	49.9	11	0	1	11
1990	1990020	161	137.3	11	0	1	10
1990	1990021	161	-999.9	-999.9	1	0	0
1990	1990022	161	-999.9	-999.9	1	0	0
1990	1990023	>162	37.4	13	0	1	13
1990	1990024	>162	10.4	11	0	1	11
1990	1990025	>162	97.8	8	0	1	5
1990	1990026	>162	11.4	10	0	1	9
1990	1990027	>162	131.0	12	0	1	12
1990	1990028	>162	79.0	6	0	0	0
1990	1990029	>162	106.1	10	0	1	10
1990	1990030	>162	16.6	11	0	0	0
1990	1990031	>162	1.0	10	0	1	10
1990	1990032	>162	1.0	15	0	1	7
1990	1990033	>162	43.7	8	0	1	7
1991	1991013	<171	64.5	11	0	1	2
1991	1991014	<171	114.4	15	0	1	14
1991	1991015	<171	54.1	12	0	1	10
1991	1991016	<171	42.6	11	0	1	10
1991	1991017	<171	44.7	10	0	1	10
1991	1991018	<171	126.9	12	0	1	12
1991	1991019	<171	12.5	11	0	1	11
1991	1991020	<171	46.8	9	0	1	9
1991	1991021	<171	42.6	11	0	1	11
1991	1991022	<171	72.8	13	0	1	12
1991	1991023	<171	6.2	14	0	1	13
1991	1991024	<171	17.7	8	0	1	7
1991	1991025	<171	46.8	5	0	1	4
1991	1991026	171	16.6	8	0	1	8
1991	1991027	>171	73.8	14	0	1	13
1991	1991028	>171	112.3	9	0	1	9
1991	1991029	>171	57.2	9	0	1	1
1991	1991030	>171	98.8	13	0	1	12
1991	1991031	>171	33.3	9	0	1	9
1991	1991032	>171	116.5	15	0	1	15
1991	1991033	>171	122.7	10	0	0	0
1991	1991034	>171	95.7	10	0	0	0
1991	1991035	>171	81.1	9	0	1	9
1991	1991036	>171	177.8	12	0	1	9
1991	1991037	>171	149.8	13	0	1	12
1991	1991038	>171	111.3	10	0	1	9
1991	1991039	>171	97.8	12	0	1	11
1991	1991040	>171	92.6	16	0	1	15
1991	1991041	>171	28.1	6	0	0	0
1991	1991042	>171	43.7	8	0	0	0
1991	1991043	>171	90.5	7	0	1	2
1991	1991044	>171	96.7	13	0	1	8
1991	1991045	>171	92.6	-999.9	0	0	0
1991	1991046	>171	35.4	8	0	1	7
1991	1991047	>171	145.6	9	0	1	7
1991	1991048	>171	124.8	10	0	1	10
1991	1991049	>171	149.8	7	0	1	7
1991	1991050	>171	33.3	9	0	1	2
1991	1991051	>171	72.8	9	0	1	9
1991	1991052	>171	33.3	9	0	1	9
1991	1991053	>171	63.4	6	0	1	3
1991	1991054	>171	85.3	9	0	1	3
1991	1991055	>171	46.8	14	0	1	1
1991	1991056	>171	33.3	8	0	1	8
1991	1991057	>171	25.0	4	0	1	1
1991	1991058	>171	26.0	12	0	1	12
1991	1991059	>171	23.9	10	0	1	8
1991	1991060	>171	22.9	11	0	1	7
1991	1991061	>171	81.1	5	0	1	3
1991	1991062	>171	105.0	12	0	1	11
1991	1991063	>171	29.1	9	0	1	9
1991	1991064	>171	152.9	10	0	0	0
1991	1991065	>171	99.8	13	0	0	0
1991	1991066	>171	62.4	-999.9	0	0	0
1992	1992001	155	125.8	-999.9	1	0	0
1992	1992002	155	93.6	-999.9	1	0	0
1992	1992003	155	75.9	-999.9	1	0	0
1992	1992004	155	171.6	-999.9	1	0	0
1992	1992005	155	72.8	-999.9	1	0	0
1992	1992006	155	168.5	-999.9	1	0	0
1992	1992007	155	72.8	-999.9	1	0	0
1992	1992008	155	32.2	-999.9	1	0	0
1992	1992009	155	19.8	-999.9	1	0	0
1992	1992010	156	103.0	-999.9	1	0	0
1992	1992011	156	95.7	-999.9	1	0	0
1992	1992012	156	33.3	7	0	0	0
1992	1992013	156	49.9	-999.9	1	0	0
1992	1992014	156	91.5	-999.9	1	0	0
1992	1992017	157-174	77.0	-999.9	1	0	0
1992	1992018	157-174	174.7	-999.9	1	0	0
1992	1992019	157-174	194.5	11	0	1	2
1992	1992020	157-174	161.2	-999.9	1	0	0
1992	1992021	157-174	84.2	-999.9	1	0	0
1992	1992022	157-174	78.0	-999.9	1	0	0
1992	1992023	157-174	74.9	-999.9	1	0	0
1992	1992024	157-174	74.9	-999.9	1	0	0
1992	1992025	157-174	69.7	-999.9	1	0	0
1992	1992026	157-174	132.1	-999.9	1	0	0
1992	1992027	157-174	38.5	-999.9	1	0	0
1992	1992028	157-174	150.8	-999.9	1	0	0
1992	1992029	157-174	145.6	-999.9	1	0	0
1992	1992030	157-174	87.4	-999.9	1	0	0
1992	1992031	157-174	176.8	-999.9	1	0	0
1992	1992032	157-174	91.5	-999.9	1	0	0
1992	1992033	157-174	77.0	-999.9	1	0	0
1992	1992034	157-174	46.8	-999.9	1	0	0
1992	1992035	157-174	44.7	-999.9	1	0	0
1992	1992036	157-174	67.6	10	0	1	1
1992	1992037	157-174	85.3	-999.9	1	0	0
1992	1992038	157-174	82.2	-999.9	1	0	0
1992	1992039	157-174	86.3	-999.9	1	0	0
1992	1992040	157-174	86.3	-999.9	1	0	0
1992	1992041	157-174	10.4	8	0	1	8
1992	1992042	157-174	127.9	-999.9	1	0	0
1992	1992043	157-174	116.5	-999.9	1	0	0
1992	1992044	157-174	122.7	-999.9	1	0	0
1992	1992045	157-174	45.8	-999.9	1	0	0
1992	1992046	157-174	62.4	-999.9	1	0	0
1992	1992047	157-174	48.9	-999.9	1	0	0
1992	1992048	157-174	87.4	-999.9	1	0	0
1992	1992049	157-174	97.8	-999.9	1	0	0
1992	1992050	157-174	136.2	-999.9	1	0	0
1992	1992051	157-174	95.7	-999.9	1	0	0
1992	1992052	157-174	196.6	-999.9	1	0	0
1992	1992053	157-174	117.5	-999.9	1	0	0
1992	1992054	157-174	160.2	-999.9	1	0	0
1992	1992055	157-174	12.5	9	0	1	8
1992	1992057	157-174	16.6	11	0	1	7
1992	1992058	157-174	188.2	9	0	0	0
1992	1992059	157-174	163.3	-999.9	1	0	0
1992	1992060	157-174	57.2	-999.9	1	0	0
1992	1992061	157-174	157.0	11	0	1	10
1992	1992062	157-174	75.9	12	0	1	10
1992	1992063	157-174	52.0	-999.9	1	0	0
1992	1992064	157-174	20.8	5	0	0	0
1992	1992065	157-174	10.4	10	0	1	7
1992	1992066	157-174	13.5	10	0	1	8
1992	1992068	157-174	19.8	-999.9	1	0	0
1992	1992069	157-174	61.4	10	0	1	6
1992	1992070	157-174	131.0	-999.9	1	0	0
1992	1992071	157-174	36.4	-999.9	1	0	0
1992	1992081	175	174.7	-999.9	1	0	0
1992	1992082	175	12.5	8	0	1	8
1992	1992084	175	41.6	-999.9	1	0	0
1992	1992085	175	65.5	13	0	1	11
1993	1993001	160	138.3	-999.9	-999.9	0	0
1993	1993002	160	31.2	-999.9	-999.9	0	0
1993	1993003	160	147.7	-999.9	-999.9	0	0
1993	1993004	160	2.1	-999.9	-999.9	0	0
1993	1993005	160	37.4	-999.9	-999.9	0	0
1993	1993006	160	87.4	-999.9	-999.9	0	0
1993	1993007	160	66.6	-999.9	-999.9	0	0
1993	1993008	160	63.4	-999.9	-999.9	0	0
1993	1993009	160	11.4	-999.9	-999.9	0	0
1993	1993010	160	57.2	-999.9	-999.9	0	0
1993	1993011	160	108.2	-999.9	-999.9	0	0
1993	1993012	161	120.6	-999.9	-999.9	0	0
1993	1993013	161	103.0	-999.9	-999.9	0	0
1993	1993014	161	149.8	-999.9	-999.9	0	0
1993	1993015	161	176.8	-999.9	-999.9	0	0
1993	1993016	161	89.4	-999.9	-999.9	0	0
1993	1993017	160	134.2	-999.9	-999.9	0	0
1993	1993018	161	125.8	-999.9	-999.9	0	0
1993	1993019	162	56.2	-999.9	-999.9	0	0
1993	1993025	162	116.5	-999.9	-999.9	0	0
1993	1993026	162	90.5	-999.9	-999.9	0	0
1993	1993027	162	7.3	-999.9	-999.9	0	0
1993	1993028	162	149.8	-999.9	-999.9	0	0
1993	1993029	163	79.0	-999.9	-999.9	0	0
1993	1993030	163	99.8	-999.9	-999.9	0	0
1993	1993031	162	59.3	-999.9	-999.9	0	0
1993	1993032	162	42.6	-999.9	-999.9	0	0
1993	1993034	165-167	77.0	-999.9	-999.9	0	0
1993	1993035	165-167	66.6	-999.9	-999.9	0	0
1993	1993036	165-167	124.8	-999.9	-999.9	0	0
1993	1993037	165-167	99.8	-999.9	-999.9	0	0
1993	1993038	166	25.0	-999.9	-999.9	0	0
1993	1993039	165-167	54.1	-999.9	-999.9	0	0
1993	1993040	165-167	70.7	-999.9	-999.9	0	0
1993	1993041	167	62.4	-999.9	-999.9	0	0
1993	1993042	165-167	78.0	-999.9	-999.9	0	0
1993	1993043	165-167	73.8	-999.9	-999.9	0	0
1993	1993044	165-167	79.0	-999.9	-999.9	0	0
1993	1993045	165-167	151.8	-999.9	-999.9	0	0
1993	1993046	165-167	124.8	-999.9	-999.9	0	0
1993	1993047	165-167	61.4	-999.9	-999.9	0	0
1993	1993048	165-167	139.4	-999.9	-999.9	0	0
1993	1993053	168	17.7	-999.9	-999.9	0	0
1993	1993054	168	116.5	-999.9	-999.9	0	0
1993	1993055	168	61.4	-999.9	-999.9	0	0
1993	1993057	168	129.0	-999.9	-999.9	0	0
1993	1993058	168	28.1	-999.9	-999.9	0	0
1993	1993060	168	88.4	-999.9	-999.9	0	0
1993	1993061	169-175	77.0	-999.9	-999.9	0	0
1993	1993062	169-175	88.4	-999.9	-999.9	0	0
1993	1993063	169-175	20.8	-999.9	-999.9	0	0
1993	1993064	169-175	46.8	-999.9	-999.9	0	0
1993	1993065	169-175	36.4	-999.9	-999.9	0	0
1993	1993066	169-175	88.4	-999.9	-999.9	0	0
1993	1993067	169-175	67.6	-999.9	-999.9	0	0
1993	1993068	169-175	72.8	-999.9	-999.9	0	0
1993	1993069	169-175	91.5	-999.9	-999.9	0	0
1993	1993070	169-175	89.4	-999.9	-999.9	0	0
1993	1993071	169-175	53.0	-999.9	-999.9	0	0
1993	1993072	169-175	53.0	-999.9	-999.9	0	0
1993	1993073	169-175	70.7	-999.9	-999.9	0	0
1993	1993074	177	83.2	-999.9	-999.9	0	0
1993	1993075	177	75.9	-999.9	-999.9	0	0
1993	1993076	177	36.4	-999.9	-999.9	0	0
1993	1993077	177	72.8	-999.9	-999.9	0	0
1993	1993078	177	58.2	-999.9	-999.9	0	0
1993	1993079	177	11.4	-999.9	-999.9	0	0
1993	1993080	177	38.5	-999.9	-999.9	0	0
1993	1993081	177	18.7	-999.9	-999.9	0	0
1993	1993082	177	137.3	-999.9	-999.9	0	0
1994	1994001	154	40.6	-999.9	1	0	0
1994	1994002	154	49.9	-999.9	1	0	0
1994	1994004	155	11.4	-999.9	1	0	0
1994	1994005	155	53.0	-999.9	1	0	0
1994	1994006	156	36.4	9	0	1	7
1994	1994007	156	44.7	-999.9	1	0	0
1994	1994008	156	39.5	-999.9	1	0	0
1994	1994009	156	45.8	-999.9	1	0	0
1994	1994010	157	94.6	-999.9	1	0	0
1994	1994011	157	153.9	8	0	1	8
1994	1994012	157	87.4	13	0	1	13
1994	1994013	158	53.0	9	0	1	9
1994	1994014	158	92.6	9	0	1	9
1994	1994016	158	63.4	-999.9	1	0	0
1994	1994017	>159	96.7	-999.9	1	0	0
1994	1994018	>159	20.8	-999.9	1	0	0
1994	1994019	>159	19.8	-999.9	1	0	0
1994	1994020	>159	14.6	-999.9	1	0	0
1994	1994021	>159	19.8	-999.9	1	0	0
1994	1994022	>159	99.8	-999.9	1	0	0
1994	1994023	>159	40.6	-999.9	1	0	0
1994	1994024	>159	9.4	-999.9	1	0	0
1994	1994025	>159	93.6	-999.9	1	0	0
1994	1994026	>159	51.0	-999.9	1	0	0
1994	1994027	>159	18.7	10	0	1	10
1994	1994028	>159	29.1	10	0	1	10
1994	1994029	>159	-999.9	-999.9	1	0	0
1994	1994030	>159	116.5	10	0	1	10
1994	1994032	>159	78.0	5	0	1	5
1994	1994033	>159	62.4	12	0	1	11
1994	1994034	>159	96.7	11	0	1	10
1994	1994035	>159	74.9	-999.9	1	0	0
1994	1994036	>159	132.1	-999.9	1	0	0
1994	1994037	>159	98.8	10	0	0	0
1994	1994038	>159	86.3	-999.9	1	0	0
1994	1994039	>159	81.1	-999.9	1	0	0
1994	1994040	>159	49.9	-999.9	1	0	0
1994	1994041	>159	162.2	-999.9	1	0	0
1994	1994042	>159	66.6	-999.9	1	0	0
1994	1994043	>159	60.3	-999.9	1	0	0
1994	1994044	>159	-999.9	-999.9	1	0	0
1994	1994045	>159	83.2	-999.9	1	0	0
1994	1994046	>159	116.5	-999.9	1	0	0
1994	1994047	>159	132.1	-999.9	1	0	0
1994	1994048	>159	-999.9	-999.9	1	0	0
1994	1994049	>159	6.2	-999.9	1	0	0
1994	1994050	>159	-999.9	-999.9	1	0	0
1994	1994051	>159	45.8	-999.9	1	0	0
1994	1994052	>159	44.7	-999.9	1	0	0
1994	1994053	>159	20.8	-999.9	1	0	0
1994	1994054	>159	138.3	-999.9	1	0	0
1994	1994055	>159	108.2	9	0	1	8
1994	1994056	>159	78.0	14	0	1	14
1994	1994057	>159	-999.9	-999.9	1	0	0
1995	1995001	152	129.0	15	0	1	14
1995	1995002	156	105.0	8	1	0	0
1995	1995003	156	26.0	13	0	1	13
1995	1995004	156	79.0	8	0	1	5
1995	1995005	156	65.5	11	0	1	11
1995	1995006	155	34.3	13	0	1	11
1995	1995007	156	19.8	13	0	0	0
1995	1995008	155	8.3	13	0	1	13
1995	1995009	157	93.6	10	1	0	0
1995	1995010	157	80.1	10	0	1	10
1995	1995011	157	121.7	17	0	1	14
1995	1995012	157	99.8	12	0	1	10
1995	1995013	157	132.1	7	1	0	0
1995	1995014	157	26.0	10	1	0	0
1995	1995015	157	109.2	12	1	0	0
1995	1995016	157	60.3	11	0	1	11
1995	1995017	157	43.7	10	1	0	0
1995	1995018	155	46.8	14	1	0	0
1995	1995019	156	34.3	9	0	1	9
1995	1995020	156	35.4	15	0	1	15
1995	1995021	157	63.4	9	1	0	0
1995	1995022	155	150.8	11	0	1	9
1995	1995023	156	155.0	9	0	1	8
1995	1995024	156	97.8	14	1	0	0
1995	1995025	155	93.6	11	0	1	7
1995	1995026	154	98.8	13	1	0	0
1995	1995027	158	79.0	13	0	1	13
1995	1995028	158	119.6	7	1	0	0
1995	1995029	158	105.0	8	0	1	4
1995	1995030	158	16.6	10	1	0	0
1995	1995031	158	81.1	10	0	1	10
1995	1995032	158	65.5	11	0	1	11
1995	1995033	158	118.6	15	1	0	0
1995	1995034	158	92.6	8	1	0	0
1995	1995035	158	155.0	11	1	0	0
1995	1995036	158	19.8	11	0	1	11
1995	1995037	158	155.0	11	1	0	0
1995	1995038	157	197.6	10	0	1	9
